name,address,lat,lon,price_level,rating,category,neighborhood
Motthaven Marketplace,"441 Gerard Ave, Bronx, NY 10451, USA",40.817531699999996,-73.9301127,N/A,4.1,grocery,Mott Haven
FreshDirect,"2 St Ann's Ave, Bronx, NY 10454, USA",40.801309599999996,-73.9192702,N/A,3.9,grocery,Mott Haven
FoodFest Depot,"500 E 132nd St, Bronx, NY 10454, USA",40.803090499999996,-73.9211825,N/A,4.4,grocery,Mott Haven
Pioneer Supermarkets of Willis,"250 Willis Ave, Bronx, NY 10454, USA",40.809211399999995,-73.9224917,N/A,3.6,grocery,Mott Haven
Western Beef Supermarket,"301 Morris Ave, Bronx, NY 10451, USA",40.8126472,-73.9264185,N/A,4,grocery,Mott Haven
10 Days Grocery,"459 Brook Ave, Bronx, NY 10455, USA",40.812646,-73.9164591,N/A,4.5,grocery,Mott Haven
Borinquen Supermarket,"436 Brook Ave, Bronx, NY 10454, USA",40.8120848,-73.9164055,N/A,4.1,grocery,Mott Haven
Met Foodmarkets of Jackson Ave,"649 Jackson Ave, Bronx, NY 10455, USA",40.815612300000005,-73.90850499999999,N/A,3.6,grocery,Mott Haven
Super Associated Fresh,"616 Melrose Ave, Bronx, NY 10455, USA",40.8177284,-73.9168699,N/A,3.8,grocery,Mott Haven
672 E 138th Food Corporation,"672 E 138th St, Bronx, NY 10454, USA",40.8053733,-73.914407,N/A,4.4,grocery,Mott Haven
Pioneer Supermarkets of St Ann's,"256 St Ann's Ave, Bronx, NY 10454, USA",40.8072264,-73.9169563,N/A,3.5,grocery,Mott Haven
CTown Supermarkets,"2733 3rd Ave, Bronx, NY 10451, USA",40.814475699999996,-73.9213027,PRICE_LEVEL_MODERATE,3.9,grocery,Mott Haven
Noah deli and grocery,"229 St Ann's Ave, Bronx, NY 10454, USA",40.8074967,-73.9172207,N/A,4.6,grocery,Mott Haven
141 Grocery and Deli,"2628 3rd Ave, Bronx, NY 10454, USA",40.8123965,-73.924424,N/A,4.2,grocery,Mott Haven
FOOD BAZAAR,"610 Exterior St 4th FLOOR, Bronx, NY 10451, USA",40.8217666,-73.92993249999999,N/A,4.6,grocery,Mott Haven
CTown Supermarkets,"423 Grand Concourse, Bronx, NY 10451, USA",40.816747199999995,-73.928367,N/A,3.5,grocery,Mott Haven
CTown Supermarkets,"564 Southern Blvd, Bronx, NY 10455, USA",40.8123109,-73.90272159999999,PRICE_LEVEL_MODERATE,3.5,grocery,Mott Haven
SCULPT NEW YORK,"410 W 24th St, New York, NY 10011, USA",40.7472085,-74.0013378,N/A,5,gym,Chelsea
